"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044331","cell-cell adhesion mediated by cadherin","8/287","53/18805",0.150943396226415,9.89021103149037,8.06854522371199,1.30472926655089e-06,0.00487446853983411,0.00434268835877253,"EPCAM/CDH12/VEGFA/CD2AP/PLEKHA7/CDH8/SMAD7/FOXA2",8
"GO:0001822","kidney development","17/287","325/18805",0.0523076923076923,3.42733851514339,5.49528313726233,1.12896312549444e-05,0.0102892070819285,0.00916670595995092,"SOX11/EPCAM/HES1/GCNT4/EDN1/VEGFA/CD2AP/SIM1/DACT2/PDGFA/SHH/NRP1/LGR4/FREM2/SMAD6/SMAD7/BMP2",17
"GO:0001569","branching involved in blood vessel morphogenesis","6/287","36/18805",0.166666666666667,10.9204413472706,7.41704146153688,1.58947704057681e-05,0.0102892070819285,0.00916670595995092,"TGFBR2/EDN1/VEGFA/SHH/NRARP/NRP1",6
"GO:0072001","renal system development","17/287","336/18805",0.0505952380952381,3.31513398042144,5.33080881471758,1.73537664320099e-05,0.0102892070819285,0.00916670595995092,"SOX11/EPCAM/HES1/GCNT4/EDN1/VEGFA/CD2AP/SIM1/DACT2/PDGFA/SHH/NRP1/LGR4/FREM2/SMAD6/SMAD7/BMP2",17
"GO:0001657","ureteric bud development","9/287","100/18805",0.09,5.89703832752613,6.11256762097678,2.24017534714758e-05,0.0102892070819285,0.00916670595995092,"EPCAM/HES1/VEGFA/SIM1/SHH/LGR4/SMAD6/SMAD7/BMP2",9
"GO:0072163","mesonephric epithelium development","9/287","101/18805",0.0891089108910891,5.83865180943181,6.0699741424416,2.4268920901588e-05,0.0102892070819285,0.00916670595995092,"EPCAM/HES1/VEGFA/SIM1/SHH/LGR4/SMAD6/SMAD7/BMP2",9
"GO:0072164","mesonephric tubule development","9/287","101/18805",0.0891089108910891,5.83865180943181,6.0699741424416,2.4268920901588e-05,0.0102892070819285,0.00916670595995092,"EPCAM/HES1/VEGFA/SIM1/SHH/LGR4/SMAD6/SMAD7/BMP2",9
"GO:0072073","kidney epithelium development","11/287","155/18805",0.0709677419354839,4.64999438012813,5.68051428787252,2.67500519638931e-05,0.0102892070819285,0.00916670595995092,"EPCAM/HES1/EDN1/VEGFA/CD2AP/SIM1/SHH/LGR4/SMAD6/SMAD7/BMP2",11
"GO:0031016","pancreas development","8/287","80/18805",0.1,6.55226480836237,6.19545605928713,2.98949003636074e-05,0.0102892070819285,0.00916670595995092,"NR5A2/HES1/PCSK1/PAX4/SHH/TCF7L2/GATA6/FOXA2",8
"GO:0001823","mesonephros development","9/287","105/18805",0.0857142857142857,5.61622697859632,5.90513772151409,3.31170375011634e-05,0.0102892070819285,0.00916670595995092,"EPCAM/HES1/VEGFA/SIM1/SHH/LGR4/SMAD6/SMAD7/BMP2",9
