"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045581","negative regulation of T cell differentiation","8/302","54/18805",0.148148148148148,9.22492028452293,7.73257033144319,2.2095338229141e-06,0.00806707974046978,0.00684068558874337,"SHH/MIR21/SMAD7/SLC4A2/NRARP/RC3H1/RUNX1/TNFSF18",8
"GO:0046637","regulation of alpha-beta T cell differentiation","9/302","81/18805",0.111111111111111,6.9186902133922,6.81987352883302,5.97670720687407e-06,0.00806707974046978,0.00684068558874337,"SHH/TGFBR2/IL18/MIR21/SMAD7/SLC4A2/RC3H1/RUNX1/TNFSF18",9
"GO:0046639","negative regulation of alpha-beta T cell differentiation","6/302","30/18805",0.2,12.453642384106,8.02087580709418,7.00548939922046e-06,0.00806707974046978,0.00684068558874337,"SHH/SMAD7/SLC4A2/RC3H1/RUNX1/TNFSF18",6
"GO:0045620","negative regulation of lymphocyte differentiation","8/302","64/18805",0.125,7.78352649006623,6.94475054091646,8.17954853279572e-06,0.00806707974046978,0.00684068558874337,"SHH/MIR21/SMAD7/SLC4A2/NRARP/RC3H1/RUNX1/TNFSF18",8
"GO:0045444","fat cell differentiation","15/302","252/18805",0.0595238095238095,3.70644118574582,5.52585277957359,1.48995648918453e-05,0.0117557566996659,0.00996859310027038,"RREB1/HES1/PRDM16/RETREG1/PER2/LAMB3/MIR21/CTBP2/ZFP36L1/FFAR2/VEGFA/ZFP36L2/TCF7L2/SMAD6/TRIM32",15
"GO:0044331","cell-cell adhesion mediated by cadherin","7/302","53/18805",0.132075471698113,8.22410346120205,6.7283041159688,2.1039990068059e-05,0.0119436179226487,0.0101278948057308,"CDH8/CD2AP/PLEKHA7/SMAD7/EPCAM/VEGFA/CDH12",7
"GO:0001569","branching involved in blood vessel morphogenesis","6/302","36/18805",0.166666666666667,10.3780353200883,7.1953192111719,2.11927314216833e-05,0.0119436179226487,0.0101278948057308,"SHH/TGFBR2/NRARP/VEGFA/NRP1/EDN1",6
"GO:0001763","morphogenesis of a branching structure","13/302","208/18805",0.0625,3.89176324503311,5.35772568132106,3.33399522269496e-05,0.0129671867130861,0.0109958560133914,"CSMD1/FZD5/SHH/LGR4/TGFBR2/BCL11A/MET/NRARP/PDGFA/CSF1/VEGFA/NRP1/EDN1",13
"GO:0001657","ureteric bud development","9/302","100/18805",0.09,5.60413907284768,5.8976241990371,3.33988199619466e-05,0.0129671867130861,0.0109958560133914,"SHH/CALB1/HES1/LGR4/SMAD7/EPCAM/SIM1/VEGFA/SMAD6",9
"GO:0072163","mesonephric epithelium development","9/302","101/18805",0.0891089108910891,5.54865254737394,5.85576611775063,3.61569211264759e-05,0.0129671867130861,0.0109958560133914,"SHH/CALB1/HES1/LGR4/SMAD7/EPCAM/SIM1/VEGFA/SMAD6",9
