"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","in_paper","neglog10_padj"
"GO:0048732","gland development","138/2815","451/18805",0.305986696230599,2.0440780897394,9.41664023267548,1.33060738353779e-17,7.48573568482651e-14,5.49615348159765e-14,"ERRFI1/RAP1GAP/PCSK9/WLS/LMO4/TGFBR3/CSF1/HMGCS2/NOTCH2/ELF3/PROX1/TGFB2/ID2/RTN4/TGFA/HK2/PAX8/INHBB/GLI2/TFCP2L1/SP3/HOXD3/CFLAR/CREB1/CPS1/ERBB4/IHH/TGFBR2/CTNNB1/DAG1/WNT5A/ROBO1/SOX2/HES1/PDGFRA/AREG/NFKB1/LEF1/EGF/FBXW7/RXFP1/PRLR/ITGA2/PCSK1/MAN2A1/CDO1/FGF1/NR3C1/FOXC1/RREB1/EDN1/JARID2/ID4/VEGFA/CD2AP/CGA/POU3F2/GJA1/TNFAIP3/PERP/CITED2/PDGFA/HOXA3/GLI3/COBL/EGFR/SEMA3C/MET/BRAF/SHH/CSMD1/FGL1/NRG1/ZNF703/SNAI2/EXT1/NFIB/BAAT/PTPN3/ASS1/NOTCH1/UPF2/PTF1A/NRP1/ARID5B/BMPR1A/LIPA/BTRC/NEURL1/DEAF1/TAF10/WNT11/CADM1/NTN4/TBX3/HNF1A/CPB2/RCBTB2/IRS2/ARHGAP5/ARF6/BMP4/SIX1/SIX4/BTBD7/SERPINA10/BCL11B/ONECUT1/ALDH1A2/FOXB1/SMAD3/FEM1B/SALL1/RPGRIP1L/CDH1/HNF1B/MED1/TBX2/SOX9/LAMA1/GATA6/TNFRSF11A/INSR/CEBPA/HPN/CEACAM1/ARHGAP35/ASXL1/GHRH/SRC/TGM2/MAFB/BMP7/PCK1/CRKL/UPB1/XBP1/MPST",138,TRUE,13.125765511532
"GO:0051056","regulation of small GTPase mediated signal transduction","104/2815","303/18805",0.343234323432343,2.29290282491837,9.5195835372314,2.40892540139228e-17,7.48573568482651e-14,5.49615348159765e-14,"ARHGEF19/ARHGEF10L/RAP1GAP/DOCK7/ARHGAP29/VAV3/CSF1/NOTCH2/ABL2/TGFB2/RHOU/TRIM67/RTN4/STAMBP/MAP4K4/ARHGAP15/ALS2/FGD5/PLXNB1/ROBO1/KALRN/PIK3CB/ECT2/BCL6/ARHGAP24/FAM13A/SPRY1/TRIO/ARHGEF28/F2RL1/RASGRF2/CDC42SE2/SPRY4/ARHGAP26/SQSTM1/CD2AP/ARHGAP18/ARFGEF3/PLEKHG1/TIAM2/CYTH3/RAC1/CHN2/TNS3/AUTS2/RELN/MET/PRAG1/DLC1/DENND3/KANK1/SEMA4D/ABCA1/MAPKAP1/RALGPS1/GARNL3/VAV2/NOTCH1/NET1/ARHGAP21/NRP1/DNMBP/SHOC2/ARRB1/PICALM/ARHGAP42/CDON/ARHGAP32/EPS8/FGD4/RACGAP1/KITLG/IGF1/SPATA13/STARD13/SPRY2/DOCK9/MCF2L/RASA3/ARHGAP5/RALGAPA1/ARF6/PLEKHG3/CGNL1/MYO9A/RASGRF1/AKAP13/RAP1GAP2/CYTH1/ARHGEF18/DOCK6/SIPA1L3/ARHGAP35/RALGAPA2/SRC/TGM2/ARHGAP40/PREX1/ARFGEF2/CRKL/BCR/CDKL5/STARD8/AMOT",104,TRUE,13.125765511532
"GO:0007264","small GTPase-mediated signal transduction","141/2815","487/18805",0.28952772073922,1.93412745595063,8.76338071103419,1.02468822122269e-15,2.12281243163301e-12,1.55860471543873e-12,"ARHGEF19/ARHGEF10L/RAP1GAP/PHACTR4/DHCR24/DAB1/DOCK7/BCAR3/ARHGAP29/VAV3/CSF1/NOTCH2/RALGPS2/ABL2/TGFB2/RHOU/RAB4A/TRIM67/ROCK2/RHOB/RTN4/STAMBP/RTKN/MAP4K4/RALB/ARHGAP15/RAPGEF4/NCKAP1/ALS2/FGD5/NKIRAS1/PLXNB1/ROBO1/KALRN/PIK3CB/AGTR1/SIAH2/PLD1/ECT2/BCL6/G3BP2/ARHGAP24/FAM13A/SPRY1/RAB33B/RAPGEF2/TRIO/ARHGEF28/F2RL1/RASGRF2/CDC42SE2/SPRY4/ARHGAP26/RUFY1/SQSTM1/CD2AP/ARHGAP18/ARFGEF3/PLEKHG1/TIAM2/CYTH3/RAC1/CHN2/ELMO1/TNS3/AUTS2/RELN/DOCK4/MET/PRAG1/DLC1/DOCK5/DENND3/KANK1/SEMA4D/ABCA1/MAPKAP1/RALGPS1/GARNL3/VAV2/NOTCH1/NET1/ARHGAP21/NRP1/LIPA/DNMBP/SHOC2/DOCK1/ARRB1/PICALM/ARHGAP42/CDON/ARHGAP32/EPS8/FGD4/LRRK2/RACGAP1/KITLG/IGF1/SPATA13/STARD13/SPRY2/RAP2A/FARP1/DOCK9/ARHGEF7/MCF2L/RASA3/ARHGAP5/RALGAPA1/ARF6/PLEKHG3/CGNL1/MYO9A/RASGRF1/AKAP13/RAP1GAP2/KSR1/RAPGEFL1/CDC42EP4/GRB2/CYTH1/ARHGEF18/DOCK6/GARRE1/SIPA1L3/ARHGAP35/RALGAPA2/SRC/TGM2/ARHGAP40/PREX1/ARFGEF2/CRKL/BCR/CDC42EP1/CELSR1/CDKL5/STARD8/CHM/AMOT",141,FALSE,11.673088377716
"GO:0001822","kidney development","100/2815","325/18805",0.307692307692308,2.05547205902446,8.05336767103325,2.79615341844252e-13,4.34452337390507e-10,3.18982238656535e-10,"CTNNBIP1/PCSK9/HS2ST1/HMGCS2/NOTCH2/IL6R/PROX1/TGFB2/AGT/ODC1/OSR1/SDC1/EPCAM/WDPCP/CYP26B1/POU3F3/PAX8/GLI2/CFLAR/ERBB4/CTNNB1/WNT5A/ROBO2/SEC61A1/AGTR1/WWTR1/TIPARP/HES1/CC2D2A/PDGFRA/FRAS1/PPP3CA/NPNT/SPRY1/ADAMTS16/GCNT4/SMAD5/EGR1/FGF1/SLC34A1/FOXC1/EDN1/DTNBP1/SOX4/VEGFA/CD2AP/PKHD1/TRAF3IP2/TBC1D32/AHI1/DACT2/PDGFA/C1GALT1/GLI3/DDC/SHH/EXT1/HAS2/MTSS1/MYC/CNTRL/ASS1/NOTCH1/NRP1/BICC1/ARID5B/PAX2/LGR4/CAT/WNT11/YAP1/ZBTB16/LRRK2/IFT88/FREM2/BMP4/SIX1/SIX4/ALDH1A2/MYO1E/GCNT3/SMAD6/SMAD3/GLIS2/SALL1/RPGRIP1L/HS3ST3A1/HS3ST3B1/HNF1B/PECAM1/SOX9/FOXJ1/SMAD7/JAG1/ASXL1/BMP7/AP1B1/MPST/UPK3A/GPC3",100,TRUE,9.36205786189358
"GO:0072001","renal system development","102/2815","336/18805",0.303571428571429,2.02794341537681,7.97732426900678,4.11792885330287e-13,5.11858556465547e-10,3.75815191138273e-10,"CTNNBIP1/PCSK9/NFIA/HS2ST1/HMGCS2/NOTCH2/IL6R/PROX1/TGFB2/AGT/ODC1/OSR1/SDC1/EPCAM/WDPCP/CYP26B1/POU3F3/PAX8/GLI2/CFLAR/ERBB4/CTNNB1/WNT5A/ROBO2/SEC61A1/AGTR1/WWTR1/TIPARP/HES1/CC2D2A/PDGFRA/FRAS1/PPP3CA/NPNT/SPRY1/ADAMTS16/GCNT4/SMAD5/EGR1/FGF1/SLC34A1/FOXC1/EDN1/DTNBP1/SOX4/VEGFA/CD2AP/PKHD1/TRAF3IP2/TBC1D32/AHI1/DACT2/PDGFA/C1GALT1/GLI3/DDC/SHH/EXT1/HAS2/MTSS1/MYC/CNTRL/ASS1/NOTCH1/NRP1/BICC1/ARID5B/PAX2/LGR4/CAT/WNT11/YAP1/ZBTB16/LRRK2/LGR5/IFT88/FREM2/BMP4/SIX1/SIX4/ALDH1A2/MYO1E/GCNT3/SMAD6/SMAD3/GLIS2/SALL1/RPGRIP1L/HS3ST3A1/HS3ST3B1/HNF1B/PECAM1/SOX9/FOXJ1/SMAD7/JAG1/ASXL1/BMP7/AP1B1/MPST/UPK3A/GPC3",102,TRUE,9.2908500324481
"GO:0001763","morphogenesis of a branching structure","70/2815","208/18805",0.336538461538462,2.248172564558,7.59495042254043,1.12542537810531e-11,1.13887096714737e-08,8.36178285571212e-09,"RERE/CTNNBIP1/CSF1/PROX1/AGT/MYCN/RTN4/BCL11A/PAX8/GLI2/IHH/TGFBR2/CTNNB1/SETD2/DAG1/WNT5A/MAP3K13/AREG/NPNT/LEF1/EGF/SPRY1/ADAMTS16/FGF1/EDN1/VEGFA/PKHD1/GCM1/PDGFA/GLI3/SEMA3C/MET/SHH/CSMD1/SNAI2/EXT1/MYC/NOTCH1/NRP1/PAX2/BTRC/LGR4/YAP1/ST14/LRRK2/NTN4/TBX3/SPRY2/BMP4/SIX1/SIX4/BTBD7/DLL4/FEM1B/SALL1/HS3ST3A1/HS3ST3B1/HNF1B/MED1/TBX2/SOX9/GRB2/SOCS3/LAMA1/SRC/TGM2/BMP7/CTSZ/CELSR1/GPC3",70,TRUE,7.94352547823021
"GO:0001889","liver development","55/2815","146/18805",0.376712328767123,2.51654541473029,7.71840840686287,1.28271870796968e-11,1.13887096714737e-08,8.36178285571212e-09,"ERRFI1/PCSK9/TGFBR3/HMGCS2/NOTCH2/PROX1/RTN4/TGFA/SP3/CFLAR/CPS1/IHH/HES1/FBXW7/ITGA2/MAN2A1/FGF1/JARID2/CD2AP/TNFAIP3/CITED2/COBL/EGFR/MET/FGL1/BAAT/PTPN3/ASS1/NOTCH1/UPF2/ARID5B/LIPA/TAF10/CADM1/TBX3/HNF1A/CPB2/RCBTB2/ARF6/SERPINA10/ONECUT1/ALDH1A2/SMAD3/RPGRIP1L/HNF1B/MED1/SOX9/GATA6/CEBPA/HPN/CEACAM1/PCK1/UPB1/XBP1/MPST",55,TRUE,7.94352547823021
"GO:0007015","actin filament organization","124/2815","463/18805",0.267818574514039,1.78910418960444,7.21342613703098,2.05765766997454e-11,1.59854280236147e-08,1.17367710517627e-08,"ARHGEF10L/CAPZB/LUZP1/SH3D21/DNAI3/CNN3/S1PR1/CAPZA1/S100A10/PROX1/ARF1/RHOU/ROCK2/CYRIA/RHOB/PRKCE/SPTBN1/TACR1/CTNNA2/CAPG/ACTR3/BIN1/ZEB2/NEB/NCKAP1/MYO1B/TMEFF2/XIRP1/PHLDB2/ITGB5/PAK2/ADD1/WDR1/CRACD/SYNPO2/ARFIP1/FAT1/PIK3R1/IQGAP2/F2RL1/ZBED3/DIAPH1/CYFIP2/NEDD9/PHACTR1/CAP2/TRIM27/CD2AP/OOEP/MYO6/MARCKS/ARHGAP18/CCN2/SNX9/EZR/PRKN/RAC1/SCIN/ELMO1/COBL/HIP1/PPP1R9A/MET/CAPZA2/WASL/CALD1/BRAF/DLC1/DMTN/PTK2B/MTSS1/KANK1/C9orf72/FAM171A1/SVIL/NRP1/RHOBTB1/SORBS1/ADD3/USH1C/GAS2/FCHSD2/ARRB1/ESAM/EPS8/CAPZA3/LIMA1/PAWR/CORO1C/PLA2G1B/HIP1R/WASF3/LCP1/ARF6/ACTN1/TJP1/MYO5C/CGNL1/MYO1E/SMAD3/CX3CL1/BCAR1/SERPINF2/MYO1D/PPM1E/CDC42EP4/GRB2/SPIRE1/MYO5B/ARHGEF18/DNM2/RHPN2/ARHGAP35/MKKS/SRC/ARHGAP40/PREX1/MICAL3/CDC42EP1/TRIOBP/BAIAP2L2/DIAPH2/AMOT/PLS3",124,TRUE,7.7962757306275
"GO:0061008","hepaticobiliary system development","55/2815","149/18805",0.369127516778524,2.46587671510484,7.53739721640244,3.23949870609719e-11,2.23705382871045e-08,1.64248267730191e-08,"ERRFI1/PCSK9/TGFBR3/HMGCS2/NOTCH2/PROX1/RTN4/TGFA/SP3/CFLAR/CPS1/IHH/HES1/FBXW7/ITGA2/MAN2A1/FGF1/JARID2/CD2AP/TNFAIP3/CITED2/COBL/EGFR/MET/FGL1/BAAT/PTPN3/ASS1/NOTCH1/UPF2/ARID5B/LIPA/TAF10/CADM1/TBX3/HNF1A/CPB2/RCBTB2/ARF6/SERPINA10/ONECUT1/ALDH1A2/SMAD3/RPGRIP1L/HNF1B/MED1/SOX9/GATA6/CEBPA/HPN/CEACAM1/PCK1/UPB1/XBP1/MPST",55,TRUE,7.6503235656438
"GO:0001503","ossification","122/2815","458/18805",0.266375545851528,1.77946434804192,7.08576187459172,4.37789075163599e-11,2.72085910214177e-08,1.99770067456232e-08,"SKI/CTNNBIP1/RUNX3/DNAI3/CCN1/S1PR1/CSF1/IL6R/ADCY10/SUCO/OSR1/CRIM1/SLC8A1/PKDCC/TACR1/GLI2/ACVR2A/SP3/COL5A2/BMPR2/IHH/TWIST2/PPARG/CTNNB1/LIMD1/SETD2/PLXNB1/WNT5A/WWTR1/IFT80/SOX2/AHSG/OSTN/FGFR3/TAPT1/AREG/BMP2K/SPP1/PPP3CA/NPNT/SGMS2/LEF1/ANKH/IL6ST/VCAN/ADGRV1/SMAD5/SLC26A2/SLC34A1/FOXC1/ID4/CLIC1/MAPK14/VEGFA/RUNX2/TENT5A/GJA1/ENPP1/CCN2/FAM20C/SNX10/GLI3/EGFR/CDK6/CALCR/SND1/ATP6V0A4/SHH/PTK2B/SLC20A2/SNAI2/EXT1/PTK2/RORB/SEMA4D/IARS1/RXRA/NOTCH1/GTPBP4/BAMBI/BMPR1A/MINPP1/PTEN/FFAR4/LGR4/CAT/MEN1/CHRDL2/WNT11/YAP1/ZBTB16/PTHLH/ANO6/ACVR1B/ATP2B1/IGF1/FGF9/PRKD1/BMP4/SMOC1/SMAD6/SMAD3/XYLT1/CDH11/CLEC3A/WWOX/NBR1/TOB1/MAP2K6/SOX9/SMAD7/TNFRSF11A/CEBPA/TRPM4/RASSF2/JAG1/CYP24A1/BMP7/RUNX1/KREMEN1/BCOR/GPC3",122,TRUE,7.56529394728554
