"peak_id","peak_chr","peak_start","peak_end","peak_mid","peak_score","win10_start","win10_end","genes_TSS_10kb","genes_geneBodyOverlap_10kb","nearest_gene","nearest_proteincoding_gene","nearest_proteincoding_gene_distance","peak_overlap_type","peak_distanceToTSS","peak_overlap_simple","sequence_name","peak_overlap_custom"
"chr1:912750-913163","chr1",912750,913163,912956,192,902956,922956,"LINC02593,LOC284600","LINC02593,LOC107985728,LOC284600","LOC284600","SAMD11",-10972,"Exon (ENST00000715285.1/284600, exon 2 of 3)",1315,"Exon","chr1_912750-913163","Exon"
"chr1:1019481-1019974","chr1",1019481,1019974,1019727,756,1009727,1029727,"AGRN","AGRN,ISG15","AGRN","AGRN",-396,"Promoter (<=1kb)",-146,"Promoter","chr1_1019481-1019974","Promoter"
"chr1:1128371-1128696","chr1",1128371,1128696,1128533,126,1118533,1138533,"LOC124903819,LINC01342","LOC124903819,LINC01342","LOC124903819","C1orf159",-12172,"Promoter (<=1kb)",327,"Promoter","chr1_1128371-1128696","Promoter"
"chr1:1164858-1165182","chr1",1164858,1165182,1165020,116,1155020,1175020,"TTLL10,MIR200A,MIR200B,MIR429","TTLL10-AS1,TTLL10,MIR200A,MIR200B,MIR429","MIR200B","TTLL10",-8864,"Promoter (1-2kb)",-1922,"Promoter","chr1_1164858-1165182","Promoter"
"chr1:1168453-1168963","chr1",1168453,1168963,1168708,682,1158708,1178708,"TTLL10,MIR200A,MIR200B,MIR429","TTLL10-AS1,TTLL10,MIR200A,MIR200B,MIR429","MIR429","TTLL10",-5176,"Promoter (<=1kb)",-42,"Promoter","chr1_1168453-1168963","Promoter"
"chr1:1437903-1438450","chr1",1437903,1438450,1438176,902,1428176,1448176,"LINC01770,VWA1","LINC01770,TMEM88B,VWA1","VWA1","VWA1",3315,"Intron (ENST00000338660.5/64856, intron 2 of 2)",2168,"Intron","chr1_1437903-1438450","Intron"
"chr1:2138351-2138672","chr1",2138351,2138672,2138511,50,2128511,2148511,"","PRKCZ","PRKCZ","PRKCZ",88041,"Intron (ENST00000378567.8/5590, intron 5 of 17)",3089,"Intron","chr1_2138351-2138672","Intron"
"chr1:2208268-2208717","chr1",2208268,2208717,2208492,241,2198492,2218492,"LOC105378593,LOC124903823,FAAP20","LOC105378593,LOC124903823,FAAP20","FAAP20","FAAP20",4228,"Promoter (<=1kb)",-535,"Promoter","chr1_2208268-2208717","Promoter"
"chr1:2250692-2251262","chr1",2250692,2251262,2250977,751,2240977,2260977,"","SKI","SKI","SKI",22282,"Intron (ENST00000704337.1/6497, intron 1 of 3)",2696,"Intron","chr1_2250692-2251262","Intron"
"chr1:3219293-3219810","chr1",3219293,3219810,3219551,557,3209551,3229551,"LOC105378605","LOC105378605,PRDM16","PRDM16","PRDM16",150383,"Intron (ENST00000511072.5/63976, intron 2 of 15)",-6147,"Intron","chr1_3219293-3219810","Intron"
"chr1:3340455-3340964","chr1",3340455,3340964,3340709,527,3330709,3350709,"","PRDM16","PRDM16","PRDM16",271541,"Intron (ENST00000511072.5/63976, intron 3 of 15)",-17306,"Intron","chr1_3340455-3340964","Intron"
"chr1:4267306-4267910","chr1",4267306,4267910,4267608,1370,4257608,4277608,"","","LINC01777","C1orf174",-367315,"Exon (ENST00000761402.1/ENST00000761402.1, exon 2 of 2)",-144117,"Exon","chr1_4267306-4267910","Exon"
